ID,Neighborhood,Bedrooms,Bathrooms,Size_sqft,Floor,Building_Type,Furnishing,View,Condition,Parking_Spaces,Price_AED,Price_per_sqft_AED,Annual_Rent_AED,Service_Charge_AED,Listing_Date,Days_on_Market
688,Dubai Silicon Oasis,Studio,1,594,26,High-Rise,Unfurnished,Street View,Good,2,499000,840,35000,7953,2023-01-26,167
689,Dubai Creek Harbour,5+ BR,6,5355,2,Serviced Apartment,Semi-Furnished,Canal View,Excellent,1,11066000,2066,703000,102115,2023-03-26,67
690,Al Nahda,4 BR,4,2245,32,Serviced Apartment,Furnished,Park View,Average,0,1982000,883,129000,29537,2022-07-22,169
691,Deira,3 BR,2,1536,29,Villa Compound,Furnished,City View,Excellent,1,1394000,908,83000,21927,2024-06-26,89
692,Downtown Dubai,3 BR,3,2011,59,High-Rise,Unfurnished,Garden View,Average,2,4254000,2115,277000,48468,2023-03-25,145
693,Dubai Silicon Oasis,3 BR,3,1944,25,Low-Rise,Semi-Furnished,City View,Excellent,2,2019000,1039,150000,39660,2022-06-06,4
694,Dubai Silicon Oasis,Studio,1,616,3,High-Rise,Furnished,Burj Khalifa View,New,1,818000,1328,53000,11782,2022-11-15,83
695,Downtown Dubai,3 BR,3,1477,48,High-Rise,Unfurnished,Garden View,Good,1,3527000,2388,227000,31681,2024-10-24,62
696,Dubai South,3 BR,2,2196,3,Mid-Rise,Furnished,Burj Khalifa View,Average,0,1671000,761,140000,30429,2024-06-17,4
697,Business Bay,Studio,1,641,43,Mid-Rise,Semi-Furnished,Garden View,Good,0,1253000,1955,102000,13697,2025-01-09,22
698,Downtown Dubai,4 BR,4,2653,11,High-Rise,Semi-Furnished,Park View,Average,0,5761000,2172,328000,54205,2024-09-04,71
699,Dubai South,5+ BR,4,5990,43,Serviced Apartment,Furnished,Pool View,Excellent,0,5666000,946,393000,99142,2022-04-19,33
700,Damac Hills,2 BR,2,1245,32,Low-Rise,Furnished,Canal View,New,2,2245000,1803,124000,23932,2022-09-19,23
701,Al Barsha,1 BR,1,643,52,Low-Rise,Semi-Furnished,Canal View,New,2,900000,1400,61000,15965,2025-03-14,42
702,Oud Metha,Studio,1,564,30,Serviced Apartment,Semi-Furnished,City View,Good,2,642000,1138,52000,11215,2022-05-18,59
703,DIFC,Studio,1,581,33,Serviced Apartment,Furnished,Street View,New,0,2158000,3714,132000,11978,2025-05-14,71
704,International City,5+ BR,6,4313,45,Villa Compound,Semi-Furnished,City View,Good,2,2550000,591,150000,94745,2023-03-14,74
705,Dubai South,3 BR,3,2053,57,Serviced Apartment,Unfurnished,Park View,Average,1,1468000,715,98000,37746,2025-05-23,89
706,Al Jaddaf,2 BR,2,1161,7,Villa Compound,Unfurnished,Sea View,New,1,1563000,1346,96000,24356,2022-01-29,138
707,Al Quoz,2 BR,2,1441,29,Serviced Apartment,Unfurnished,City View,Average,0,1039000,721,81000,35716,2023-03-16,121
708,Dubai Hills Estate,3 BR,3,2114,6,Mid-Rise,Unfurnished,Garden View,Good,0,3569000,1688,286000,47164,2023-01-23,129
709,Dubai South,4 BR,3,2154,43,Mid-Rise,Unfurnished,Burj Khalifa View,New,1,2267000,1052,154000,26979,2024-04-28,69
710,Damac Hills,Studio,1,458,59,Serviced Apartment,Semi-Furnished,Sea View,Excellent,1,759000,1657,60000,8226,2022-09-16,148
711,Deira,4 BR,3,2398,11,High-Rise,Semi-Furnished,Park View,Excellent,0,1820000,759,141000,39435,2024-01-10,130
712,Dubai Silicon Oasis,5+ BR,4,3728,26,Low-Rise,Unfurnished,City View,New,2,3994000,1071,306000,46783,2023-02-08,104
713,Deira,5+ BR,6,3424,50,Mid-Rise,Unfurnished,Garden View,Excellent,1,2925000,854,220000,47912,2022-07-17,148
714,Al Quoz,4 BR,3,3402,55,Low-Rise,Furnished,Pool View,Excellent,2,3402000,1000,221000,43708,2023-01-08,106
715,Dubai Creek Harbour,1 BR,1,755,27,Villa Compound,Unfurnished,Park View,Good,2,1237000,1638,92000,12673,2023-02-14,11
716,Mirdif,3 BR,3,1833,46,Low-Rise,Furnished,Sea View,New,1,2508000,1368,194000,28665,2022-05-07,4
717,Palm Jumeirah,3 BR,2,1564,23,Serviced Apartment,Furnished,Pool View,Good,2,5373000,3435,360000,25806,2023-04-25,33
718,Jumeirah Lakes Towers (JLT),1 BR,1,728,20,Low-Rise,Furnished,Street View,Excellent,0,1191000,1636,78000,11349,2022-06-08,94
719,Palm Jumeirah,2 BR,2,1212,52,High-Rise,Unfurnished,Street View,Good,1,4009000,3308,317000,30116,2024-11-12,159
720,Deira,5+ BR,4,3686,30,Serviced Apartment,Semi-Furnished,City View,New,1,3832000,1040,226000,84679,2024-09-26,165
721,Dubai Creek Harbour,2 BR,2,1406,1,High-Rise,Furnished,Street View,New,1,2617000,1861,202000,28755,2023-10-23,146
722,Jumeirah Village Circle (JVC),4 BR,4,3092,14,High-Rise,Unfurnished,Pool View,Excellent,1,3110000,1006,250000,75657,2025-05-29,179
723,Al Nahda,1 BR,1,669,49,Low-Rise,Furnished,Sea View,Average,0,610000,912,41000,13196,2023-11-08,114
724,Al Jaddaf,4 BR,4,3300,23,Serviced Apartment,Unfurnished,Street View,Good,2,3573000,1083,288000,46716,2024-11-12,87
725,Arjan,1 BR,1,888,14,Villa Compound,Furnished,Pool View,New,2,1062000,1196,68000,18097,2023-05-22,69
726,Jumeirah Lakes Towers (JLT),3 BR,2,1736,30,Low-Rise,Semi-Furnished,Burj Khalifa View,Excellent,1,3424000,1972,226000,38723,2022-04-25,100
727,Al Nahda,5+ BR,4,4193,12,High-Rise,Furnished,City View,Excellent,1,3593000,857,243000,56240,2023-07-13,80
728,Dubailand,2 BR,2,1010,4,Low-Rise,Unfurnished,Park View,New,1,879000,870,52000,12414,2022-12-10,57
729,Arjan,Studio,1,524,4,Mid-Rise,Semi-Furnished,Sea View,Excellent,1,628000,1198,47000,7203,2023-07-10,158
730,Dubai Marina,2 BR,2,1052,28,Low-Rise,Furnished,Park View,New,1,2392000,2274,142000,13847,2022-01-04,85
731,Dubai Silicon Oasis,5+ BR,5,4130,31,Low-Rise,Furnished,Canal View,Good,2,4940000,1196,303000,89941,2023-12-18,139
732,Business Bay,4 BR,3,2093,12,High-Rise,Unfurnished,Canal View,Good,2,4286000,2048,241000,44152,2024-04-26,54
733,Al Nahda,1 BR,1,690,13,Mid-Rise,Furnished,Sea View,Good,2,751000,1088,59000,17201,2024-03-13,28
734,Remraam,4 BR,3,2925,10,Low-Rise,Unfurnished,Burj Khalifa View,Excellent,1,2472000,845,167000,54504,2024-04-09,126
735,Remraam,2 BR,2,1231,42,Low-Rise,Semi-Furnished,Park View,Excellent,0,1093000,888,83000,18177,2023-06-03,134
736,Jumeirah Village Circle (JVC),2 BR,2,1110,43,Low-Rise,Unfurnished,Pool View,Average,1,1190000,1072,93000,24430,2024-11-24,15
737,Dubai Hills Estate,4 BR,3,2049,18,Low-Rise,Unfurnished,Garden View,Average,1,3104000,1515,262000,28049,2022-02-26,75
738,Oud Metha,4 BR,3,2111,33,Low-Rise,Semi-Furnished,Burj Khalifa View,Average,1,2562000,1214,153000,27403,2023-03-12,153
739,Dubai Creek Harbour,2 BR,2,1133,22,High-Rise,Furnished,Sea View,Average,2,2226000,1965,167000,16413,2024-04-27,129
740,Deira,1 BR,1,763,57,Mid-Rise,Unfurnished,Garden View,Good,2,575000,754,46000,13519,2023-02-25,92
741,Al Barsha,2 BR,2,1469,18,High-Rise,Furnished,Park View,Good,1,1720000,1171,114000,35854,2023-08-17,163
742,International City,5+ BR,4,3377,3,Low-Rise,Unfurnished,Burj Khalifa View,Excellent,2,1922000,569,118000,69872,2022-11-17,109
743,Palm Jumeirah,5+ BR,5,3563,59,Serviced Apartment,Furnished,Park View,Excellent,2,13226000,3712,942000,61731,2023-01-10,58
744,Dubai South,1 BR,1,868,1,Villa Compound,Semi-Furnished,Park View,Excellent,0,571000,658,32000,18855,2024-05-17,12
745,Palm Jumeirah,4 BR,4,2919,29,Serviced Apartment,Furnished,Park View,Good,0,10092000,3457,786000,61153,2025-05-10,157
746,Jumeirah Beach Residence (JBR),1 BR,1,666,58,Low-Rise,Semi-Furnished,Burj Khalifa View,Average,2,1810000,2718,153000,10815,2024-04-19,34
747,Dubai Marina,Studio,1,392,13,Mid-Rise,Semi-Furnished,Burj Khalifa View,New,2,1143000,2916,67000,6550,2024-07-18,162
748,Damac Hills,1 BR,1,691,45,Villa Compound,Unfurnished,Pool View,Good,1,842000,1219,69000,16101,2023-07-03,118
749,Remraam,Studio,1,420,18,Mid-Rise,Unfurnished,Pool View,Excellent,0,332000,790,20000,7216,2023-06-06,3
750,Al Barsha,Studio,1,396,28,High-Rise,Unfurnished,Canal View,New,2,509000,1285,36000,5863,2022-08-23,137
751,Dubai Creek Harbour,4 BR,3,3131,4,Mid-Rise,Furnished,Burj Khalifa View,New,0,7258000,2318,461000,44772,2024-01-25,88
752,Dubai Marina,3 BR,2,1811,18,Serviced Apartment,Unfurnished,Park View,Excellent,1,3838000,2119,250000,39771,2022-03-02,77
753,Al Quoz,3 BR,2,2157,35,Mid-Rise,Semi-Furnished,Park View,Excellent,0,2026000,939,125000,50846,2022-11-07,128
754,Jumeirah Beach Residence (JBR),3 BR,3,1608,29,Mid-Rise,Furnished,Sea View,Excellent,1,4606000,2864,325000,21668,2023-10-03,114
755,DIFC,4 BR,3,2256,6,High-Rise,Unfurnished,Park View,New,0,6497000,2880,432000,38257,2022-04-30,108
756,Arjan,4 BR,4,2354,29,Serviced Apartment,Unfurnished,Street View,Average,2,2148000,912,165000,33410,2025-01-19,59
757,Jumeirah Lakes Towers (JLT),1 BR,1,793,21,Mid-Rise,Unfurnished,Sea View,Good,2,1310000,1652,105000,14597,2024-09-24,115
758,Dubai Hills Estate,2 BR,2,1221,19,Low-Rise,Furnished,Street View,Excellent,1,2699000,2210,179000,19865,2024-06-30,26
759,Bur Dubai,3 BR,2,2164,40,Mid-Rise,Furnished,Sea View,Average,0,2383000,1101,158000,37107,2024-02-22,14
760,Palm Jumeirah,5+ BR,6,5185,43,Mid-Rise,Semi-Furnished,Garden View,Average,1,14439000,2785,873000,123396,2023-10-16,86
761,Jumeirah Village Circle (JVC),5+ BR,4,5164,28,Low-Rise,Unfurnished,Sea View,New,2,7155000,1386,534000,99762,2025-03-05,74
762,Al Jaddaf,Studio,1,437,17,High-Rise,Furnished,Canal View,Excellent,2,605000,1384,38000,7771,2023-01-30,54
763,Al Nahda,2 BR,2,989,20,Mid-Rise,Furnished,Canal View,Average,2,930000,940,58000,20504,2022-10-05,64
764,Dubai South,2 BR,2,1273,14,Mid-Rise,Furnished,Street View,New,2,1062000,834,60000,27539,2023-04-21,112
765,Dubai Hills Estate,4 BR,4,2783,32,High-Rise,Semi-Furnished,Canal View,New,0,6895000,2478,511000,47211,2022-04-28,89
766,Palm Jumeirah,2 BR,2,1140,41,Villa Compound,Unfurnished,Pool View,Excellent,0,3960000,3474,254000,23903,2022-10-05,119
767,Jumeirah Beach Residence (JBR),3 BR,2,2178,2,Low-Rise,Semi-Furnished,Garden View,New,1,5172000,2375,377000,39309,2024-10-20,119
768,Al Nahda,Studio,1,454,49,Serviced Apartment,Furnished,Street View,New,0,478000,1053,32000,8325,2023-10-05,112
769,Business Bay,2 BR,2,1398,17,Low-Rise,Semi-Furnished,Garden View,Excellent,2,2600000,1860,194000,31313,2023-08-09,156
770,Mirdif,Studio,1,537,23,Low-Rise,Semi-Furnished,Garden View,Good,0,501000,933,36000,8789,2025-03-21,70
771,Business Bay,2 BR,2,1442,50,Mid-Rise,Unfurnished,Garden View,Average,2,2518000,1746,199000,17563,2024-05-19,106
772,Jumeirah Beach Residence (JBR),2 BR,2,1263,11,Serviced Apartment,Semi-Furnished,City View,Good,0,2618000,2073,181000,26387,2024-08-14,30
773,Bur Dubai,4 BR,4,2735,53,Serviced Apartment,Unfurnished,Sea View,Good,1,2778000,1016,219000,51689,2024-05-30,128
774,Jumeirah Lakes Towers (JLT),5+ BR,6,5076,58,Serviced Apartment,Unfurnished,City View,New,1,8543000,1683,682000,111307,2022-12-29,115
775,Dubailand,1 BR,1,715,48,Low-Rise,Unfurnished,Park View,Excellent,0,610000,853,50000,10825,2024-03-02,8
776,Dubai Creek Harbour,2 BR,2,1353,24,Mid-Rise,Furnished,Street View,New,0,2601000,1922,153000,26106,2023-11-05,174
777,Al Nahda,Studio,1,485,3,Low-Rise,Furnished,Sea View,Excellent,2,526000,1085,35000,8314,2024-02-28,36
778,Mirdif,3 BR,3,1654,40,Serviced Apartment,Unfurnished,Sea View,New,1,2047000,1238,162000,23632,2023-03-14,176
779,Downtown Dubai,2 BR,2,1127,12,Low-Rise,Unfurnished,City View,Excellent,1,2945000,2613,191000,28159,2022-07-21,48
780,Dubai Creek Harbour,2 BR,2,1161,3,Villa Compound,Furnished,Park View,Good,2,2080000,1792,119000,24972,2022-11-14,99
781,Dubai Marina,Studio,1,393,13,Low-Rise,Semi-Furnished,Street View,Good,0,758000,1929,54000,6296,2024-04-21,1
782,Al Nahda,Studio,1,458,46,Serviced Apartment,Unfurnished,Canal View,Average,2,434000,948,34000,8728,2023-02-14,17
783,Palm Jumeirah,3 BR,2,1840,20,Villa Compound,Semi-Furnished,Garden View,Good,1,5687000,3091,353000,35158,2022-07-01,131
784,Jumeirah Village Circle (JVC),Studio,1,642,60,Low-Rise,Semi-Furnished,Street View,New,0,824000,1283,58000,11426,2024-07-23,50
785,Dubai Silicon Oasis,Studio,1,372,38,Villa Compound,Furnished,Sea View,Excellent,1,496000,1333,37000,5210,2023-12-21,93
786,Arjan,1 BR,1,635,12,Serviced Apartment,Semi-Furnished,Burj Khalifa View,Excellent,0,755000,1189,56000,12044,2023-05-27,93
787,Damac Hills,5+ BR,5,3775,36,Low-Rise,Semi-Furnished,Burj Khalifa View,Average,1,5181000,1372,435000,83342,2024-01-14,6
788,DIFC,4 BR,3,2627,47,High-Rise,Semi-Furnished,Burj Khalifa View,Average,1,7382000,2810,534000,33140,2025-05-08,69
789,Al Quoz,3 BR,2,1498,44,Low-Rise,Furnished,Pool View,Average,1,1288000,860,103000,31226,2022-09-19,147
790,Dubai Marina,4 BR,4,3480,8,High-Rise,Semi-Furnished,City View,Average,2,6642000,1909,413000,57281,2022-04-30,54
791,International City,2 BR,2,968,51,Villa Compound,Furnished,Canal View,Average,1,694000,717,48000,17640,2025-05-25,134
792,Mirdif,2 BR,2,1406,32,Serviced Apartment,Furnished,Sea View,Good,2,1551000,1103,105000,24998,2024-10-23,7
793,Jumeirah Village Circle (JVC),5+ BR,4,4762,14,Serviced Apartment,Unfurnished,Park View,Good,1,4528000,951,311000,104220,2025-01-23,156
794,International City,Studio,1,401,43,Low-Rise,Semi-Furnished,Garden View,New,1,290000,723,19000,8782,2024-08-08,8
795,Al Jaddaf,2 BR,2,1079,18,Villa Compound,Unfurnished,Canal View,Excellent,0,1410000,1307,102000,15666,2024-03-10,158
796,Dubai Marina,3 BR,3,2116,21,Serviced Apartment,Unfurnished,City View,Average,2,3908000,1847,267000,42189,2023-08-02,45
797,Dubai Hills Estate,5+ BR,5,3682,48,Villa Compound,Unfurnished,Garden View,Excellent,0,6711000,1823,431000,72825,2022-08-17,28
798,International City,1 BR,1,915,33,Low-Rise,Semi-Furnished,Pool View,Average,2,470000,514,33000,22181,2022-01-29,22
799,Dubai Hills Estate,Studio,1,483,14,Mid-Rise,Unfurnished,City View,Good,2,866000,1793,72000,8342,2023-02-10,62
800,Palm Jumeirah,5+ BR,6,5686,39,High-Rise,Furnished,Sea View,Good,1,22734000,3998,1391000,124025,2024-09-04,46
801,Dubai South,3 BR,2,1818,22,High-Rise,Semi-Furnished,Park View,New,1,1497000,823,118000,23932,2022-02-23,63
802,Dubai Marina,4 BR,4,3141,41,Mid-Rise,Semi-Furnished,Park View,New,1,7406000,2358,604000,62700,2022-04-06,78
803,Dubai South,2 BR,2,1288,34,Villa Compound,Furnished,Street View,Excellent,1,1200000,932,82000,15555,2023-12-14,89
804,International City,5+ BR,6,3828,59,Villa Compound,Semi-Furnished,Garden View,Excellent,2,2505000,654,139000,51404,2023-10-15,154
805,Bur Dubai,1 BR,1,809,2,Mid-Rise,Unfurnished,Park View,Excellent,1,674000,833,49000,15367,2023-09-12,102
806,Dubai Hills Estate,2 BR,2,1298,50,High-Rise,Semi-Furnished,City View,Average,1,2294000,1767,159000,17338,2022-02-14,122
807,Palm Jumeirah,Studio,1,648,19,High-Rise,Furnished,Pool View,Excellent,0,2333000,3600,192000,10258,2022-04-23,45
808,Al Quoz,4 BR,3,2162,2,Serviced Apartment,Unfurnished,Sea View,New,0,2156000,997,178000,37879,2022-08-09,84
809,Al Nahda,3 BR,2,1902,40,High-Rise,Semi-Furnished,Canal View,Good,1,2140000,1125,138000,39855,2022-11-09,46
810,Al Jaddaf,5+ BR,4,5766,46,Villa Compound,Furnished,Street View,New,1,7383000,1280,624000,123030,2023-08-01,75
811,DIFC,2 BR,2,1323,32,Mid-Rise,Semi-Furnished,Canal View,Excellent,0,4429000,3348,366000,27598,2022-05-05,119
812,Al Nahda,1 BR,1,795,24,Mid-Rise,Furnished,City View,Average,1,653000,821,48000,9925,2024-03-20,113
813,Oud Metha,3 BR,3,2115,49,High-Rise,Furnished,Burj Khalifa View,Excellent,1,3017000,1426,200000,41884,2025-02-03,91
814,Al Quoz,5+ BR,6,5617,58,Villa Compound,Furnished,City View,New,2,6167000,1098,473000,76260,2023-04-01,176
815,Jumeirah Lakes Towers (JLT),1 BR,1,681,27,Serviced Apartment,Semi-Furnished,Street View,New,2,1042000,1530,86000,15317,2022-06-18,25
816,Business Bay,2 BR,2,1189,49,Villa Compound,Unfurnished,Sea View,Excellent,1,2833000,2383,168000,22895,2024-02-27,32
817,Dubai South,Studio,1,437,57,Villa Compound,Semi-Furnished,Pool View,Good,0,332000,760,22000,10438,2024-12-11,150
818,Dubai Hills Estate,Studio,1,444,6,High-Rise,Furnished,City View,New,0,947000,2133,78000,8200,2024-06-11,36
819,Remraam,5+ BR,6,4184,22,Serviced Apartment,Furnished,Park View,Average,0,3236000,773,270000,63636,2024-07-21,167
820,Dubai Hills Estate,1 BR,1,793,5,Mid-Rise,Furnished,Street View,Average,1,1394000,1758,77000,14077,2022-09-03,8
821,International City,3 BR,2,1453,5,Villa Compound,Semi-Furnished,Street View,Average,1,684000,471,49000,26559,2022-11-24,31
822,Al Barsha,Studio,1,380,30,Mid-Rise,Semi-Furnished,Burj Khalifa View,New,1,564000,1484,48000,7554,2022-10-04,147
823,Arjan,5+ BR,6,3252,56,Serviced Apartment,Furnished,Garden View,Good,1,3878000,1192,298000,68114,2024-01-28,107
824,Bur Dubai,4 BR,4,2860,54,Villa Compound,Semi-Furnished,Garden View,New,2,2681000,937,189000,56652,2024-05-10,150
825,Bur Dubai,Studio,1,432,44,Serviced Apartment,Unfurnished,Canal View,Excellent,2,471000,1090,27000,9998,2023-02-18,14
826,Dubai Marina,4 BR,3,2081,48,Serviced Apartment,Semi-Furnished,Street View,New,2,5046000,2425,321000,37104,2024-11-13,91
827,Dubai Silicon Oasis,Studio,1,357,4,High-Rise,Semi-Furnished,Pool View,Excellent,1,315000,882,24000,4726,2025-03-01,35
828,Bur Dubai,4 BR,4,2312,25,Serviced Apartment,Furnished,Canal View,Good,0,2517000,1089,199000,43529,2024-01-09,176
829,Dubai Creek Harbour,5+ BR,6,3728,45,Low-Rise,Semi-Furnished,Garden View,Average,1,6619000,1775,462000,61286,2024-09-14,80
830,Downtown Dubai,3 BR,2,1507,17,Serviced Apartment,Furnished,Park View,Good,1,4316000,2864,365000,24673,2023-01-18,8
831,Al Jaddaf,3 BR,3,1776,1,Mid-Rise,Semi-Furnished,Street View,Average,0,1760000,991,107000,26525,2024-04-24,77
832,Mirdif,4 BR,4,3346,6,Serviced Apartment,Semi-Furnished,City View,Excellent,1,3175000,949,190000,75987,2022-08-17,163
833,Jumeirah Village Circle (JVC),Studio,1,597,22,Mid-Rise,Unfurnished,Park View,Good,0,674000,1129,44000,12368,2023-02-13,11
834,Bur Dubai,3 BR,2,1823,18,Villa Compound,Furnished,Street View,Good,2,1605000,880,97000,29903,2022-12-14,147
835,Al Quoz,Studio,1,471,1,High-Rise,Furnished,Garden View,Good,0,358000,760,28000,8473,2022-10-08,119
836,Al Barsha,Studio,1,374,53,Low-Rise,Unfurnished,Canal View,Excellent,1,512000,1369,31000,6679,2023-06-22,104
837,Al Barsha,5+ BR,6,5154,17,High-Rise,Furnished,Street View,Average,2,5767000,1119,443000,89115,2022-08-20,87
838,Al Barsha,1 BR,1,848,38,Mid-Rise,Semi-Furnished,Park View,New,0,1024000,1208,57000,15356,2024-04-29,162
839,Dubai Hills Estate,3 BR,3,1817,47,Low-Rise,Unfurnished,Street View,Average,0,2987000,1644,236000,27851,2022-08-30,84
840,Jumeirah Village Circle (JVC),4 BR,4,2461,35,Mid-Rise,Semi-Furnished,Park View,Good,0,2683000,1090,180000,38424,2023-08-05,38
841,Palm Jumeirah,2 BR,2,1337,1,Mid-Rise,Unfurnished,Park View,Average,0,3528000,2639,235000,25393,2023-08-18,72
842,Damac Hills,4 BR,4,2091,48,Serviced Apartment,Furnished,Garden View,Excellent,0,3315000,1585,275000,48260,2024-10-04,53
843,Dubai Hills Estate,5+ BR,4,4280,47,High-Rise,Furnished,Garden View,Excellent,0,8754000,2045,740000,106306,2025-05-21,67
844,Dubai Hills Estate,4 BR,4,2926,16,High-Rise,Furnished,Park View,Average,2,5610000,1917,374000,71578,2022-06-25,8
845,Al Barsha,5+ BR,5,3214,55,High-Rise,Unfurnished,Garden View,Good,1,3167000,985,223000,75169,2024-05-21,155
846,Arjan,2 BR,2,1131,37,Villa Compound,Semi-Furnished,Sea View,New,1,1512000,1337,118000,20199,2024-01-31,156
847,Arjan,1 BR,1,775,27,Low-Rise,Semi-Furnished,Pool View,Average,1,752000,970,59000,12825,2023-04-04,65
848,International City,2 BR,2,1188,4,Villa Compound,Unfurnished,Burj Khalifa View,New,2,757000,637,59000,22003,2022-01-07,168
849,International City,1 BR,1,607,27,Low-Rise,Unfurnished,City View,Good,0,333000,549,21000,9633,2022-09-30,47
850,Deira,1 BR,1,717,10,Villa Compound,Furnished,Street View,Average,2,494000,689,37000,12044,2025-02-09,19
851,Dubai Creek Harbour,3 BR,2,1527,4,High-Rise,Semi-Furnished,Canal View,Good,0,2819000,1846,164000,35482,2023-01-10,103
852,Dubai South,5+ BR,4,5817,7,High-Rise,Furnished,Canal View,Excellent,0,5131000,882,336000,91161,2022-04-08,18
853,Business Bay,3 BR,3,1723,55,Serviced Apartment,Unfurnished,Street View,Average,1,3112000,1806,198000,28087,2023-06-06,111
854,Al Barsha,Studio,1,632,9,High-Rise,Semi-Furnished,Street View,Good,0,654000,1035,45000,14625,2023-10-23,180
855,International City,Studio,1,533,50,Mid-Rise,Unfurnished,City View,New,1,347000,651,20000,12307,2024-08-08,149
856,Oud Metha,5+ BR,5,3724,57,Low-Rise,Furnished,City View,New,2,5051000,1356,426000,52042,2022-08-23,11
857,Al Quoz,3 BR,3,1729,29,Low-Rise,Semi-Furnished,Canal View,New,1,1915000,1108,136000,38422,2023-04-29,100
858,Al Quoz,4 BR,3,2758,33,Low-Rise,Semi-Furnished,Park View,Good,0,2294000,832,172000,52846,2023-09-20,78
859,Bur Dubai,2 BR,2,1202,42,Low-Rise,Semi-Furnished,Park View,Excellent,0,1099000,914,78000,27955,2024-09-20,26
860,Damac Hills,5+ BR,4,3518,11,Low-Rise,Furnished,Street View,Good,2,4331000,1231,281000,61666,2023-08-05,161
861,Al Nahda,1 BR,1,731,40,Serviced Apartment,Unfurnished,Burj Khalifa View,New,1,830000,1135,63000,16795,2022-04-14,60
862,Jumeirah Beach Residence (JBR),3 BR,2,1815,25,Serviced Apartment,Unfurnished,Street View,Excellent,1,4087000,2252,264000,44160,2024-03-08,153
863,Damac Hills,5+ BR,6,5392,13,Serviced Apartment,Furnished,Park View,New,2,7560000,1402,461000,96101,2024-01-27,136
864,Arjan,2 BR,2,1189,42,Serviced Apartment,Furnished,Street View,Excellent,0,1327000,1116,90000,23360,2023-03-12,30
865,Al Nahda,Studio,1,641,51,Serviced Apartment,Semi-Furnished,Park View,Good,1,631000,984,36000,14362,2024-12-31,85
866,Remraam,1 BR,1,676,12,Serviced Apartment,Unfurnished,Park View,Good,0,474000,701,27000,9347,2024-06-11,113
867,Al Nahda,3 BR,3,2167,2,High-Rise,Semi-Furnished,Sea View,Average,0,1909000,881,157000,33126,2023-07-27,138
868,Oud Metha,1 BR,1,884,55,High-Rise,Furnished,Burj Khalifa View,Good,1,1100000,1244,66000,12231,2025-03-12,95
869,Mirdif,2 BR,2,1397,30,Mid-Rise,Semi-Furnished,City View,Excellent,2,1638000,1173,99000,30918,2025-01-06,174
870,Al Quoz,5+ BR,4,5036,41,Mid-Rise,Semi-Furnished,Sea View,Excellent,2,5122000,1017,285000,109849,2023-12-30,110
